"","LHS","RHS","support","confidence","coverage","lift","count"
"1","{PLR CENTRO}","{Somente VT}",0.000504725760835408,0.204492034473753,0.00246819276914276,0.751617111153977,1566
"2","{MARACANÃ}","{Somente VT}",0.00144423763365483,0.224319183019624,0.00643831532467951,0.824492439285062,4481
"3","{CONCEICAO}","{Somente VT}",0.00183519060165825,0.278285518791848,0.00659463205137502,1.02284745833052,5694
"4","{VILA BELEM}","{Somente VT}",0.00206112467467588,0.243526275704494,0.00846366441860653,0.895088731970104,6395
"5","{S.GABR-INCOP}","{Somente VT}",0.00347764429081357,0.342572308473823,0.0101515627643888,1.2591356407552,10790
"6","{JD. Giana}","{Somente VT}",0.00339191181802799,0.333016897664705,0.010185404529962,1.22401441812802,10524
"7","{BARAUNA}","{Somente VT}",0.00308379060004673,0.274721488457563,0.0112251524893842,1.00974774913737,9568
"8","{S.LUCIA-MEZO}","{Somente VT}",0.00290362348618531,0.214755661501788,0.0135205911028387,0.789341405484686,9009
"9","{RONDA PEIXOT}","{Somente VT}",0.0033625822878645,0.217010566602879,0.0154950163971412,0.797629382384959,10433
"10","{BORSATO}","{Somente VT}",0.00343800107971347,0.201412360038519,0.0170694642526207,0.74029766779149,10667
"11","{PRINC.C.CLAU}","{Somente VT}",0.00491189054606106,0.280513169762006,0.0175103741126608,1.03103526178779,15240
"12","{PIMENTEL}","{Somente VT}",0.00608217102983716,0.341853556030579,0.0177917442207128,1.25649384281712,18871
"13","{MARINA}","{Somente VT}",0.00523032544497893,0.287190740806286,0.0182120267188797,1.05557889093571,16228
"14","{JD ESPLANADA}","{Somente VT}",0.00375450216345573,0.206071220081728,0.0182194396770529,0.757421459121352,11649
"15","{SHANGR-TC}","{Somente VT}",0.00394433835319523,0.215700789622109,0.0182861563006116,0.792815254572719,12238
"16","{BARRETO}","{Somente VT}",0.00673966818954612,0.363701191407949,0.0185307839203268,1.33679553588865,20911
"17","{PALMEIRINHA}","{Somente VT}",0.00461504991660422,0.215035516376579,0.0214618031215,0.790370021161938,14319
"18","{COSTA RICA}","{Somente VT}",0.00451126850217957,0.202869773171969,0.0222372630069214,0.745654437075636,13997
"19","{TC-31 MARCO}","{Somente VT}",0.00685569710008299,0.288002491300757,0.0238042979042278,1.05856250623008,21271
"20","{PQ PINHEIROS}","{Somente VT}",0.00796409549823942,0.296119646238286,0.0268948568573892,1.08839737271099,24710
"21","{GUAIRA}","{Somente VT}",0.00748225321698212,0.241197311140895,0.0310212961396215,0.886528547111184,23215
"22","{N.PITANGUI}","{Somente VT}",0.013057442368279,0.313900963095542,0.0415973313350576,1.15375318005653,40513
"23","{N.SRA.GRACAS}","{Somente VT}",0.0103372090212478,0.227705480181466,0.0453972781551403,0.836938884433122,32073
"24","{TER CENTRAL}","{Somente VT}",0.0200865382291088,0.252171837129412,0.0796541693860943,0.926865773649131,62322
